total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,provinciaINE,codigoProvincia,nombreProvincia,codigoCCAA,nombreCCAA
159123,5092,6123,6370,6546,6747,7075,7967,9561,11450,11568,12449,13386,13237,10876,9003,7460,5388,5156,2756,818,95,34,P,Palencia,CL,Castilla y León
1128539,38284,47702,56641,60341,62507,68611,75128,82816,96160,104452,99680,89544,68577,55994,44544,33535,21723,14998,5673,1331,298,35,GC,Las Palmas,CN,Canarias
944275,32169,39385,45026,43325,41196,44021,49477,62077,81718,81436,75278,67122,63220,55307,52108,42274,30211,24641,10777,2864,643,36,PO,Pontevedra (Pontevedra),GA,Galicia (Galicia)
319796,12840,15486,16838,15974,15360,15135,17236,20848,26480,26388,24666,23328,21381,17385,15438,12783,9204,7926,3889,1082,129,26,LO,La Rioja,RI,La Rioja
327338,10019,12342,14028,14269,14754,15379,16238,18983,22466,24188,25879,26500,24477,19847,18378,16573,13321,11591,5960,1875,271,37,SA,Salamanca,CL,Castilla y León
1044405,35482,43867,50863,52020,55376,62081,67717,76293,88970,93824,88283,80989,65477,53609,44359,35862,23835,17061,6508,1499,430,38,TF,Santa Cruz de Tenerife,CN,Canarias
153663,5456,6707,7399,7481,7608,7649,7948,9425,11307,12054,12501,12524,10971,8354,7212,6162,5120,4629,2403,658,95,40,SG,Segovia,CL,Castilla y León
1947852,85270,103785,119901,109983,102319,108277,114105,136357,165335,163619,153274,138665,115290,94148,79916,66973,45311,30227,11874,2592,631,41,SE,Sevilla,AN,Andalucía
88747,3125,3587,3950,4008,4274,4227,4529,5205,6278,6480,7013,7191,6439,4979,4495,4004,3286,3208,1813,555,101,42,SO,Soria,CL,Castilla y León
822309,34784,42607,47697,44471,41427,42068,46278,56060,70546,68681,62225,56402,50486,43833,38717,29569,20745,15942,7602,1890,279,43,T,Tarragona (Tarragona),CT,Catalunya (Cataluña)
134545,5020,5951,6334,6122,6533,6821,7521,8211,9620,9856,10227,10610,9658,7534,6530,5502,4702,4740,2379,586,88,44,TE,Teruel,AR,Aragón
709403,30946,38653,42501,38784,36742,37139,41174,50981,61556,58501,54007,49009,42420,32946,28749,22890,18229,14908,7237,1800,231,45,TO,Toledo,CM,Castilla-La Mancha
2589312,100508,124765,142546,135143,130610,136254,145944,174736,220764,219930,204675,186570,164622,136306,120892,95895,72326,49779,21377,4949,721,46,V,Valencia/València,VC,"Valenciana, Comunidad/Valenciana, Comunitat"
519361,17866,23028,25464,23987,22607,22808,24905,31845,42539,43883,42065,39417,36537,31317,29270,24286,16773,12635,6147,1736,246,47,VA,Valladolid,CL,Castilla y León
168725,4241,5256,5992,6198,6770,7081,7874,9231,11489,11696,12817,14084,13342,11453,10532,9829,8404,7460,3743,1074,159,49,ZA,Zamora,CL,Castilla y León
967452,37974,45962,49946,47770,46560,48604,53463,62744,78400,80581,75238,69988,62976,52618,47807,39643,28574,24059,11159,2995,391,50,Z,Zaragoza,AR,Aragón
83517,4343,5635,6144,5644,5438,5466,5577,5980,6363,6220,5830,5701,4864,3367,2411,1896,1376,826,342,73,21,51,CE,Ceuta,CE,Ceuta
86261,5901,6922,6432,5899,6026,5935,5643,6068,6305,5715,5744,5404,4949,3230,2088,1657,1206,708,336,73,20,52,ML,Melilla,ML,Melilla
