provinciaINE,codigoProvincia,nombreProvincia,codigoCCAA,nombreCCAA,age,population
48,BI,Bizkaia(Vizcaya),PV,País Vasco/Euskadi,0s,92016
48,BI,Bizkaia(Vizcaya),PV,País Vasco/Euskadi,10s,107858
48,BI,Bizkaia(Vizcaya),PV,País Vasco/Euskadi,20s,104095
48,BI,Bizkaia(Vizcaya),PV,País Vasco/Euskadi,30s,130866
48,BI,Bizkaia(Vizcaya),PV,País Vasco/Euskadi,40s,186611
48,BI,Bizkaia(Vizcaya),PV,País Vasco/Euskadi,50s,180859
48,BI,Bizkaia(Vizcaya),PV,País Vasco/Euskadi,60s,152429
48,BI,Bizkaia(Vizcaya),PV,País Vasco/Euskadi,70s,113018
48,BI,Bizkaia(Vizcaya),PV,País Vasco/Euskadi,80+,86582
48,BI,Bizkaia(Vizcaya),PV,País Vasco/Euskadi,total,1154334
49,ZA,Zamora,CL,Castilla y León,0s,9497
49,ZA,Zamora,CL,Castilla y León,10s,12190
49,ZA,Zamora,CL,Castilla y León,20s,13851
49,ZA,Zamora,CL,Castilla y León,30s,17105
49,ZA,Zamora,CL,Castilla y León,40s,23185
49,ZA,Zamora,CL,Castilla y León,50s,26901
49,ZA,Zamora,CL,Castilla y León,60s,24795
49,ZA,Zamora,CL,Castilla y León,70s,20361
49,ZA,Zamora,CL,Castilla y León,80+,20840
49,ZA,Zamora,CL,Castilla y León,total,168725
50,Z,Zaragoza,AR,Aragón,0s,83936
50,Z,Zaragoza,AR,Aragón,10s,97716
50,Z,Zaragoza,AR,Aragón,20s,95164
50,Z,Zaragoza,AR,Aragón,30s,116207
50,Z,Zaragoza,AR,Aragón,40s,158981
50,Z,Zaragoza,AR,Aragón,50s,145226
50,Z,Zaragoza,AR,Aragón,60s,115594
50,Z,Zaragoza,AR,Aragón,70s,87450
50,Z,Zaragoza,AR,Aragón,80+,67178
50,Z,Zaragoza,AR,Aragón,total,967452
51,CE,Ceuta,CE,Ceuta,0s,9978
51,CE,Ceuta,CE,Ceuta,10s,11788
51,CE,Ceuta,CE,Ceuta,20s,10904
51,CE,Ceuta,CE,Ceuta,30s,11557
51,CE,Ceuta,CE,Ceuta,40s,12583
51,CE,Ceuta,CE,Ceuta,50s,11531
51,CE,Ceuta,CE,Ceuta,60s,8231
51,CE,Ceuta,CE,Ceuta,70s,4307
51,CE,Ceuta,CE,Ceuta,80+,2638
51,CE,Ceuta,CE,Ceuta,total,83517
52,ML,Melilla,ML,Melilla,0s,12823
52,ML,Melilla,ML,Melilla,10s,12331
52,ML,Melilla,ML,Melilla,20s,11961
52,ML,Melilla,ML,Melilla,30s,11711
52,ML,Melilla,ML,Melilla,40s,12020
52,ML,Melilla,ML,Melilla,50s,11148
52,ML,Melilla,ML,Melilla,60s,8179
52,ML,Melilla,ML,Melilla,70s,3745
52,ML,Melilla,ML,Melilla,80+,2343
52,ML,Melilla,ML,Melilla,total,86261
